,headline,article_text,source,bias,cleaned_text,compound,positive,neutral,negative
19,Amit Shah In J&K Today On 3-Day Visit. First Since Article 370 Scrapped,"Amit Shah is also scheduled to inaugurate a Srinagar-Sharjah flight todaySrinagar: Union Home Minister Amit Shah landed in Jammu and Kashmir Saturday morning for a three-day visit - his first since he led the government's charge to scrap Article 370 in August two years ago.He was received at Srinagar airport by J&K Lieutenant Governor Manoj Sinha. After landing the Home Minister visited the family of J&K police officer Inspector Parvaiz Ahmad, who was killed by terrorists this month. Mr Shah has offered Mr Ahmad's wife a government job.Amit Shah's visit comes amid heightened tension in J&K following the targeted killing of civilians; 11 - including Hindus, Muslims, and Sikhs - have been killed this month, triggering panic among migrant workers and the Kashmiri Pandit community, some of whom have already fled.He chaired a meeting of the Unified Command to review the on-ground situation, at which he reportedly asked tough questions of the security and intel agencies operating in J&K.Sources told NDTV the meeting included following up on tasks given to agencies during a meeting in Delhi last month. Sources also said Mr Shah's focus was on addressing radicalisation and infiltration.Mr Shah also inaugurate a Srinagar-Sharjah direct flight.Amit Shah at the home of J&K police officer Parvez AhmadOn Sunday, he will travel to Jammu to address a public rally, and on Monday, he is likely to meet village heads to address their concerns before flying back to Delhi.The civilian killings have prompted extra precautions for Mr Shah's visit, with fortifications in a 20 km radius around Raj Bhavan (where he will stay) on Srinagar's Gupkar Road.Drones were spotted Friday to keep track of suspicious movement and the CRPF monitored activity on Dal Lake and parts of the Jhelum River that flows through the interior of the city.""Regular area domination exercises are being carried out. Also, flash nakas are being organised,"" CRPG's Deputy Inspector General (Operations) Mathew A John told NDTV.""Snipers and sharpshooters have been deployed at strategic places. Vehicles are being checked and pedestrians frisked. Not to harass the public but for their safety too,"" he added.The killing of civilians has been linked to Pakistan-backed outfits like the Lashkar-e-Taiba; an outfit called The Resistance Front, blamed for some of the deaths, has been linked to Lashkar.This week J&K police said four Lashkar terrorists linked to the deaths of civilians - three migrant workers - had been killed after encounters in Shopian and Kulgam districts.Last week two other terrorists - involved in the killing of a civilian and a cop - were killed in back-to-back encounters in Srinagar and Pulwama. According to police, one of those killed was involved in the death of Mohammad Shafi in Srinagar on October 2.17 terrorists have been killed during 11 encounters in the last two weeks, according to Vijay Kumar, Inspector-General of Police (IGP), Kashmir.PromotedListen to the latest songs, only on JioSaavn.comThe attacks on civilians has come at a time when the Army is engaged in one of the longest and toughest anti-terror ops in recent times.. Yesterday there was heavy firing in the Poonch sector as the Army hunted down terrorists hiding in the forests there for the past 12 days. Army and police sources have said the fierceness of the fighting has led to speculation the terrorists may have been trained by Pak commandos. Nine soldiers have been killed in action so far.",ndtv,L,,,,,
20,"Fresh Snowfall In Parts Of Kashmir, Ladakh; Rainfall In Plains. See Pics","J&K's Gulmarg, Sonamarg, Pahalgam, Shopian and Gurez areas received moderate snowfall todaySrinagar: Parts of Jammu and Kashmir, and Ladakh received fresh snowfall today while the plains of the valley received heavy rainfall, leading to an early onset of winter-like conditions, officials said.They said there was moderate snowfall in Gulmarg, Sonamarg, Pahalgam, Shopian and Gurez areas of the J&K.Jammu and Kashmir | Pahalgam covered in first snow of the season pic.twitter.com/ygiT9UlOmj— ANI (@ANI) October 23, 2021Minamarg and Drass, in the Union territory of Ladakh, also witnessed snowfall since Friday night, the officials said.Jammu and Kashmir snowfall: There was moderate snowfall in Gulmarg.They said light snowfall has also been reported from some areas in Pulwama and Kulgam districts of J&K.PromotedListen to the latest songs, only on JioSaavn.comMeanwhile, there has been heavy rainfall in Srinagar city and other parts of the valley since Friday night, the officials said.Jammu and Kashmir snowfall: The valley has not witnessed disruption of electricity, officials said.Timely trimming of tree branches by the Power Development department has resulted in minimal disruption of electricity supply.The weather department has forecast wet weather in the region for the next 24 hours. ",ndtv,L,,,,,
21,"Snipers, Drones, Sharpshooters Deployed As Amit Shah Visits J&K","Amit Shah was received by J&K Lt Governor Manoj Sinha at the Srinagar airport.New Delhi: Home Minister Amit Shah arrived in Srinagar today for a three-day visit to Jammu and Kashmir amid heightened security following a spate of targeted civilian killings in the union territory in recent weeks. This is the Union Minister's first visit to the Union Territory since its formation following the scrapping of Article 370 on August 5, 2019.Mr Shah was received by J&K Lt Governor Manoj Sinha and Union Minister Jitendra Singh at the airport.The recent spate of killings has forced officials to strengthen the security to cover and fortify a 20-km radius around Raj Bhavan on Gupkar road where Amit Shah will be camping for three days.The visit comes at a time when the Union Territory is spooked with the targeted killings of civilians - most of whom are from the minority communities - and heightened terrorism by Pakistan backed outfits. Eleven civilians, including migrant labourers, were killed this month.As per the tentative schedule, Amit Shah will inaugurate a direct flight between Srinagar and Sharjah on the first day of his visit. ""Announcement about this was made last month by the Civil Aviation Minister and it will be a direct flight between Srinagar and Sharjah,"" a senior official told NDTV.The Union home minister will also meet families of those killed in the recent civilian killings in the Union Territory.He is then scheduled to chair a meeting of the Unified Command to review the situation on the ground.""Last month after a meeting in New Delhi he had tasked agencies with some homework. He will be reviewing those aspects on the ground,"" a source told NDTV.According to the source, special focus will be on increased levels of infiltrations through the borders.Chief of Intelligence Bureau Arvind Kumar, chief of Border Security Force Pankaj Singh, Chief of CRPF and the chief of the NSG along with Jammu and Kashmir's top cop will share their feedback with Amit Shah on security-related issues.On Sunday, Amit Shah will travel to Jammu where he will address a public rally - Jan Samwad. ""He will again fly back to Srinagar where he will spend all three nights,"" the source further said.On Monday, the Union Home Minister is likely to meet sarpanches (village heads) to address their concerns before flying out.Meanwhile, security has been tightened in the valley with a battery of drones and motorboats of the CRPF scanning Srinagar on Friday - the eve of the minister's arrival.Drones flew across Srinagar to keep a tab of any suspicious movement of the people while motorboats of the CRPF scanned the Dal Lake and the Jehlum River that flows through the interiors of the city.""Regular area domination exercises are being carried out. Also, flash nakas are being organised,"" CRPG's Deputy Inspector General (Operations) Mathew A John told NDTV.""Snipers and sharpshooters have been deployed at strategic places. Vehicles are being checked and pedestrians are being frisked. It's not to harass the public but for their safety, too,"" he added.The Jammu and Kashmir Police and the Central Reserve Police Force (CRPF) have jointly put together an ""aerial surveillance cover"" over the areas where members of the minority communities live besides over the city centre - Lal Chowk - to prevent further attacks by terrorists.PromotedListen to the latest songs, only on JioSaavn.com""The step has been taken in the wake of the recent attacks on minority community members and non-local labourers,"" the DIG of CRPF said.According to him, officials in plain clothes will monitor areas across Srinagar to track terrorists and those helping them spread terror. At least 10 CRPF companies and 15 BSF teams from Delhi have been deployed in Srinagar.",ndtv,L,,,,,
22,Security Increased Across Kashmir Ahead Of Amit Shah's Visit,"This will be Amit Shah's first visit to Kashmir after the Centre revoked J&K's special statusSrinagar: Security has been increased across Kashmir ahead of Union Home Minister Amit Shah's maiden visit to the Valley after the abrogation of Article 370 on Saturday, officials said.They said a thick security cover has been thrown around the BJP office at Jawahar Nagar in the city where Mr Shah is likely to pay a visit.Similarly, roads leading to Sher-i-Kashmir International Convention Centre (SKICC) have been made off-limits for three days from Saturday as the Union home minister is expected to attend an event there, they added.It will be Mr Shah's first visit to Kashmir after the Centre revoked J&K's special status and bifurcated the erstwhile state into union territories in August 2019.The officials said additional deployment of security forces has been made across the valley, especially in Srinagar.Official sources said 50 companies of additional paramilitary forces are being inducted into the valley in the wake of the recent spate of civilian killings.Bunkers manned by paramilitary CRPF have come up in several areas of the city as well in other parts of the valley, the officials said.They said the aim of constructing new bunkers and putting more personnel on the ground was to cut the free movement of militants.The officials said barricades have been put up on the roads across the valley, especially in the city, while frisking and checking of people has been intensified.The mobile internet services on a dozen towers -- mostly in the areas where non-local labourers were killed in the past week -- were snapped three days ago as part of the security measures, they said.The officials said police have started stringent checking of documents of two-wheelers running on the roads and many have been seized by police.However, IGP, Kashmir zone, Vijay Kumar had said these steps were purely related to terror violence.PromotedListen to the latest songs, only on JioSaavn.com""Seizing some bikes and shutting down of internet of some towers is purely related to #terror #violence. It has nothing to do with visit of the Hon'ble HM,"" he tweeted on Thursday.(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",ndtv,L,,,,,
23,"Mehbooba Mufti Sends Legal Notice To Satya Pal Malik Over ""Defamatory"" Remarks","Mehbooba Mufti's notice asked Satya Pal Malik to pay Rs 10 crore within 30 days (FILE)Srinagar: PDP president Mehbooba Mufti Friday sent a legal notice to former Jammu and Kashmir governor Satya Pal Malik seeking Rs 10 crore compensation for his alleged ""defamatory"" remarks against her.The notice comes days after Mr Malik, who is now the governor of Meghalaya, allegedly said Mehbooba Mufti was a beneficiary of the now-abandoned Roshni scheme which aimed to grant proprietary rights to occupants of state land for charges.""Although no amount of money can compensate my client for the loss of reputation and good name which has been caused by your aforesaid conduct, yet my client has decided to sue you for compensation,"" Ms Mehbooba's counsel Anil Sethi wrote in the legal notice.The notice asked Mr Malik to pay Rs 10 crore within 30 days as compensation or face legal proceedings.It said the compensation money will not be used by Ms Mehbooba for any personal gains but for public good.Earlier on Wednesday, Ms Mehbooba had asked Mr Malik, who was the last governor of Jammu and Kashmir before it was bifurcated, to withdraw his comments.""False & unsavoury utterances of Satya Pal Malik about me being a beneficiary of Roshni Act is highly mischievous. My legal team is preparing to sue him.""He has the option to withdraw his comments failing which I will pursue legal recourse,"" Ms Mehbooba said in a tweet two days ago.Ms Mehbooba shared a video in which Mr Malik is seen claiming that National Conference leader Farooq Abdullah, his son Omar Abdullah and the PDP chief Mehbooba Mufti got land plots under the Roshni scheme.The Roshni Act was brought in by the Farooq Abdullah government with the aim of granting proprietary rights to occupants of state land in lieu of charges. The money thus generated was to be used for setting up hydro-power plants in the state.PromotedListen to the latest songs, only on JioSaavn.comHowever, the scheme was disbanded after the Jammu and Kashmir High Court declared it illegal and directed the CBI to investigate the beneficiaries of the scheme.(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",ndtv,L,,,,,
24,"""Had Victims Not Been Hindu..."": Union Minister Slams Congress On J&K Civilian Killings","Union Minister Giriraj Singh termed the J&K civilian killings as ""cowardly"" (File)Patna: Had the civilians killed in Jammu and Kashmir been from any community other than ""Hindu"", the area would have become a site for political tourism, Union Minister Giriraj Singh said in an apparent attack on Congress leaders Rahul Gandhi and Priyanka Gandhi Vadra.""Despite being from the scheduled tribe/scheduled castes, those who were killed were Hindus. If only they belonged to some other community, the area would have become a ground for political tourism like Lakhimpur Kheri,"" he said.""Rahul and Priyanka Gandhi did not visit the homes of those killed in Jammu and Kashmir by terrorists because they belonged to the Hindu community,"" he added.Calling out the Opposition leaders, Giriraj Singh said that it is unfortunate for the country that ""tourism, sympathy, politics are done by copying others"".PromotedListen to the latest songs, only on JioSaavn.comThe Union Minister further termed the killings as ""cowardly"", saying, ""Pakistan and the supporters of Pakistan who live there do not like peace and have killed the innocent. For us (BJP), only one thing is of concern, for peace to prevail in Jammu and Kashmir.""When asked if Congress, with the recent claims Priyanka Gandhi made during the 'Pratigya Yatra', would be able to garner votes in the upcoming Assembly elections, Mr Singh said, ""Congress has been making fake promises over the past 75 years. They made the bad situations worse. (Uttar Pradesh Chief Minister) Yogi Adityanath has patched up the bad they did, now what is the use of fake promises?""",ndtv,L,,,,,
25,Soldier Killed In J&K Cremated With Full Military Honours In Madhya Pradesh,"Karnveer Singh, 25 lost his life in a gun battle at Shopian on Wednesday.The mortal remains of Karnveer Singh, a soldier with the Indian Army who was killed in an encounter with terrorists in Jammu and Kashmir's Shopian, were consigned to flames at his native village in Madhya Pradesh''s Satna district with full military honours on Friday.Chief Minister Shivraj Singh Chouhan reached Deomau Daldal village to pay his respects and announced an honorarium of Rs 1 crore to the soldier's family and a government job to his brother Shakti Singh.He further said that Karnveer Singh's statue will be installed in the village and an institution will be named after him in his memory.PromotedListen to the latest songs, only on JioSaavn.comKarnveer Singh (25) lost his life, while two other soldiers sustained injuries in a gun battle at Dragad in Shopian on Wednesday, in which two terrorists were killed.According to Additional District Magistrate (ADM) Rajesh Shahi, Karnveer Singh, who was with 21 Rajput Battalion, hailed from a family of soldiers. He joined the Army in 2017 when his father Ravi Kumar Singh retired as Subedar Major from the Military.",ndtv,L,,,,,
26,Heavy Firing In J&K's Poonch On Day 12 Of Encounter As Army Hunts Terrorists,"The army has been hunting down terrorists in Poonch forest for the past 12 days (File)Srinagar: Heavy firing resumed in a forest in Jammu and Kashmir's Poonch district today as the army moved in to hunt down terrorists that have been hiding in the area for the past 12 days. The encounter, which is one of the longest anti-terrorist operations in recent times, has seen fierce fighting between the security forces and terrorists, who have been intermittently firing and withdrawing back into the densely forested area.Nine soldiers including two army officers died in action since the encounter started nearly two weeks ago.Since morning today, heavy gunfire and loud explosions were heard after a lull of over 36 hours. On Wednesday, announcements were made from mosques asking people to stay indoors. Villagers were also asked not to let their livestock out.The announcement was a clear indication that the army may be preparing a major assault on the terrorists.The protracted encounter with the terrorists holed up in the jungle suggests that they are well-trained and are believed to have set up hideouts deep inside the jungle.PromotedListen to the latest songs, only on JioSaavn.comIn the first brush with the terrorists, five soldiers, including a Junior Commissioned Officer or JCO, were killed in action on the night of October 11 in Dera ki Gali area of Poonch. The terrorists eventually retreated to Mendhar side of the forest, where four soldiers were killed in action on October 14.On Tuesday, Army chief General MM Naravane visited Poonch and reviewed the security situation. This was for the first time the army chief visited an encounter site in Jammu and Kashmir.",ndtv,L,,,,,
27,"""Attempts From Across Border To Disrupt J&K's Peace"": Lieutenant Governor","Lieutenant Governor Manoj Sinha was addressing the Police Commemoration Day Parade. FileSrinagar: Attempts are being made from across the border to disrupt the peace and development process in Jammu and Kashmir, Lieutenant Governor Manoj Sinha said today and asserted that the government will not rest till terrorism is wiped out.He also said that the administration is committed to preserving the communal fabric and the social harmony of Jammu and Kashmir.""Attempts are being made by the neighbouring country to disrupt the process of peace and development in Jammu and Kashmir. Our brave security forces will neutralise every terror threat,"" Mr Sinha said.""We will strive to preserve the communal fabric of Jammu and Kashmir and will not rest till terrorism is completely wiped out,"" the Lt Governor said.He was addressing the Police Commemoration Day Parade at the Armed Police Complex in Zewan here.The Lt Governor paid tributes to police personnel who have made supreme sacrifice in the line of duty.Valour of bravehearts of the Jammu and Kashmir Police and their unparalleled courage is an inspiration for all, he said.From maintaining law and order to providing assistance in disasters and to being at the forefront during the Covid pandemic, the Jammu and Kashmir Police is dedicated to serve and secure the lives of the people, the Lt Governor observed.""Our valiant police personnel selflessly put their lives at stake, work 24X7 for ensuring a safe environment for the people of J&K. The nation will always remain indebted to their sacrifices,"" he added.Mr Sinha said the government is committed to peace, strengthening the social fabric and maintaining cultural harmony of Jammu and Kashmir.""Befitting reply will be given to the forces threatening sovereignty and integrity of the country,"" he said.The Lt Governor called upon the civil society, social and religious organisations to speak in unison to fight terrorism.""I salute the families of the martyrs and assure them that the Jammu and Kashmir government will always stand by them. My sincere homage to the civilians who lost their lives in terror attacks, to the police personnel and frontline workers who laid down their lives while fighting Covid,"" said the Lt Governor.DGP Dilbag Singh, while speaking on the occasion, paid homage to security personnel killed in action.""Our police and security forces are working tirelessly to protect the J&K UT from enemies. Police are always there to serve people facing traditional as well as modern challenges,"" he said.PromotedListen to the latest songs, only on JioSaavn.com(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",ndtv,L,,,,,
28,"""Anyone Not Speaking Against This..."": Army Officer Over Civilian Killings In J&K","The officer said there's a need to understand the psychology of younger population.(Representational)Srinagar: Amid a spate of targeted killings by terrorists, a senior army officer has said the time has come for some sections in Kashmir to overcome ""selective dementia"" and condemn the killing of civilians so that future generations are saved and there is an end to people's sufferings.Lt Gen K JS Dhillon, Director General of Defence Intelligence Agency and Deputy Chief of Integrated Defence Staff, said the perpetrators of such attacks on innocent civilians are targeting the roots of the society and that such people can never be friends of Kashmir.Addressing a seminar on Wednesday, Lt Gen Dhillon said, ""Over the past three decades, the Kashmiri society suffered and the very base and root of Kashmir suffered.... We have the right to (have own) feelings but whenever there is a killing by terrorists, selective dementia happens.""""Anyone not speaking against this (killing of innocents), that man or woman has lost the right to speak about everything else. The world would later ask when you were silent on innocent killings, why should you be heard now,"" he said and urged people to overcome the syndrome of ""selective dementia"".Lt Gen Dhillon, who was also heading the strategic Kashmir-based XV Corps of the army during the crucial phase of abrogation of Article 370, highlighted that 66 per cent of the population of Kashmir is below 32 years of age and they could be referred to as ""children of conflict"" and ""we need to understand their psychology"".He said there is a need to understand the psychology of the younger population and the pain of the mothers.""The 2011 census puts the population of Kashmir below 32 years of age at 62 per cent and today it would have been around 66 per cent, which means that 66 per cent of the population were born during these three decades (of militancy) and are the children of conflict.""They were born and brought up during the gun culture, strikes, curfews and crackdowns. They have grown up with a scar on their psychology. They have grown through radicalization and propaganda...so there is a problem and we need to understand their psychology,"" he said.""Who's to be blamed and who is the loser? The loser is a Kashmiri wife, loser is a Kashmiri mother...Kashmiri mother because her child could not go to proper school, did not get proper education, whose child was pushed into madrassa and was indoctrinated, joined the rank and file of a terror group and lost his life within a day or a year, leaving her grieving for the entire life.""The grief of that mother stems from the rot of terrorism and we need to address it as a society,"" said Lt Gen Dhillon, who during his tenure had initiated ""Operation Maa"" to educate mothers about the ills of terrorism and prevent their children from joining terror groups.Citing an instance during security checks at airports abroad, Lt Gen Dhillon said that ""calling someone Paki (Pakistani) in the western world is an abuse and do you (Kashmiris) want to be a society like that.""""Are we heading that way? We have a rich history of 5000-plus years which is peaceful, based on coexistence, Kashmiriyat, insaniyat and Sufiyat,"" he said.He said the economic side of the recent killing of innocents by terrorists was to trigger panic to prompt prospective tourists to cancel hotel bookings so that common people suffer and become fodder for their terror groups.""The mainstay of young Kashmiri is tourism, it may be yatra (pilgrimage), trekking, skiing in Gulmarg...the tourists come and contribute to the economy, whether in Indian or foreign currency. If peace is not there, who will come? We have seen seasons in the past when there were no tourists and the local people suffered,"" Lt Gen Dhillon said.""We need to understand that we are being attacked at the very root -- be it education, business, livelihood -- and those doing it cannot be a friend of mine. This has to be understood by a common Kashmiri,"" said Lt Gen Dhillon, who served as a captain in north Kashmir during 1990 and went on to head the XV Corps overlooking security along the Line of Control as well as hinterland.Referring to the period he was posted as a captain in north Kashmir's Kupwara district in January 1990 when Pakistan-sponsored terrorism erupted in the valley, he said the percentage of the people affected by it and those involved in it were both in single digits, but 80 to 90 per cent of the population remained silent to the happenings.""Kashmiri Pandits were made to leave Kashmir. It is not just Kashmiri Pandits, but a part of the soul of Kashmir left. Kashmiri Pandits were the mainstay of the education system in the valley. What happened in 1989-90 when terrorism started, the first casualties were the schools that have been burnt down,"" he said.He said the people who were doing this did not want an education system in the Kashmiri society and wanted to crush the spirit of ""Kashmiriyat"".He also added that terrorists ensured that Jammu and Kashmir lacked behind the rest of the country and the main reason for it was the eruption of militancy in the erstwhile state.""When the benefits of global economy accrued and India started getting its benefits, it was the same time when terrorism started in the valley in 1990 as a result Jammu and Kashmir lost this opportunity to be part of the global economy and avail its benefits,"" he said.PromotedListen to the latest songs, only on JioSaavn.comKashmir has witnessed a spate of targeted civilian killings in the past few weeks.(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",ndtv,L,,,,,
29,"""Where Is The Promised Peace, Development?"": Farooq Abdullah Questions BJP","Aim of National Conference is to serve people of all faiths without any discrimination: Farooq AbdullahJammu: National Conference president Farooq Abdullah on Wednesday launched a scathing attack on the BJP over the targeted killings in Kashmir and said it should give an answer to the people over the claims of restoration of peace in the valley.He also said that the National Conference was never a pro-Pakistan party and always worked for the betterment of all, irrespective of their caste, creed and religion.""They (BJP) used to say after abrogation of Article 370 (in August 2019) that they have restored peace in J&K... Where is the promised peace and development? Give answers to the people,"" Mr Abdullah said addressing party workers in Ramban district.Eleven civilians, including two teachers, a pharmacy owner and five non-local labourers, were killed in targeted attacks by terrorists in different parts of the Kashmir valley this month.Without naming the BJP or the central government, the former chief minister said the recent killings have shattered all the claims made in the aftermath of the August 5, 2019, development.""They are talking about ''Ram Rajya'' but the fact is that they do not know anything about it. In ''Ram Rajya'', there is no discrimination and all the people whether Muslims, Hindus, Sikh or Christians are treated equally,"" he said.Referring to the statement of former prime minister AB Vajpayee ""you can change friends but not neighbours"", Mr Abdullah said friendship between India and Pakistan holds the key to peace in the region.However, he said the National Conference has never been a pro-Pakistan party.""The aim of National Conference is to serve the people of all faiths without any discrimination, provide better living to them, ensure they educate their children and bring laurels to J&K and the country,"" he said.PromotedListen to the latest songs, only on JioSaavn.com""Our enemies have always conspired against us but they never succeeded in the past nor will they succeed in future. We will live and die here,"" the NC president said.He also slammed the central government for price hike of essential commodities and said the rates of petrol and diesel are touching the sky, making the lives of the commoners miserable.",ndtv,L,,,,,
30,Sara Ali Khan’s fun social media side is a far cry from her royal heiress image,"Greeting everyone with a polite “adaab”, Sara Ali Khan entered showbiz as the true Patuadi heiress. Having inherited royal charm from father Saif Ali Khan and an attractive personality from mother Amrita Singh, the young star stands out from her contemporaries. Added to that has been her degree from Columbia University in History. However, behind all these big achievements is a young millennial who knows how to have fun. And the side is evident as soon as one checks out Sara Ali Khan’s Instagram page. The Simmba actor, who turns a year older today, is candid on the photosharing app, where she has more than 34 million followers. Her Instagram series of “knock-knock” jokes with brother Ibrahim Ali Khan is particularly noteworthy. The young man seems clearly irritated by his sister’s PJs, and that makes it even funnier for Sara and her followers. On Dhanteras last year, the Coolie No 1 actor even left co-star Varun Dhawan dumbfounded when she used one of her knock-knock jokes on him. Don’t believe us, here have a look:     A post shared by Sara Ali Khan (@saraalikhan95)       A post shared by Sara Ali Khan (@saraalikhan95) Besides her brother, Sara Ali Khan also gets her otherwise shy mother to be on camera. From sharing holiday pictures to giggling at her children’s goofiness, Amrita Singh is a regular on the actor’s handle.     A post shared by Sara Ali Khan (@saraalikhan95)       A post shared by Sara Ali Khan (@saraalikhan95)       A post shared by Sara Ali Khan (@saraalikhan95) The Kedarnath actor also enjoys taking her followers on a tour while she is holidaying. From her “Namaste darshakon” to “Watch with Sara” series, fans enjoy going around exotic locations with her through her social media videos. Sara has posted several clippings while on her trip to Varanashi, New York and even Kashmir. Her funny captions and most importantly, her hosting skills will leave you in splits.     A post shared by Sara Ali Khan (@saraalikhan95)       A post shared by Sara Ali Khan (@saraalikhan95) And how can we forget her ‘rhymes’ which at times might make you roll your eyes, but it is bound to leave a smile on your face.   A post shared by Sara Ali Khan (@saraalikhan95)       A post shared by Sara Ali Khan (@saraalikhan95)       A post shared by Sara Ali Khan (@saraalikhan95) Happy Birthday, Sara Ali Khan! 📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlines For all the latest Entertainment News, download Indian Express App.     ",indianexpress,N,,,,,
31,Adivi Sesh commences last schedule of Major: ‘Eager to bring this film to you’,"South star Adivi Sesh on Thursday said the final schedule of his multilingual feature Major, based on the life of 2008 Mumbai terror attack martyr Major Sandeep Unnikrishnan, has begun here. The Sashi Kiran-directed biopic is inspired by the life of Major Unnikrishnan, the NSG commando, who saved several hostages during the 26/11 attack at the Taj Mahal Hotel in Mumbai and sacrificed his life for the nation. In a social media post, the 35-year-old-actor shared the update regarding the shooting schedule.     A post shared by Sesh Adivi (@adivisesh) “FINAL schedule begins. Eager to bring this to you. In theaters only. Only when it’s safe. For ALL audiences from Kashmir to Kanyakumari. Our 75th Independence Day is almost here. A film based on the Life of #MajorSandeepUnnikrishnan,” he wrote, along with a picture of him from the film. The makers are most likely to finish the shoot by month end. Major also stars Sobhita Dhulipala, Saiee Manjrekar, Prakash Raj, Revathi and Murali Sharma. It has been produced by Sony Pictures Films India in association with Mahesh Babu’s GMB Entertainment and A+S Movies. The film, which is slated to be released this year, has been shot in Hindi and Telugu simultaneously and will later be dubbed into Malayalam. 📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlines For all the latest Entertainment News, download Indian Express App.     ",indianexpress,N,,,,,
32,"Petrol and diesel prices unchanged for 26th straight day, here’s what it costs in your city today","Petrol and diesel price today: Petrol and diesel prices continued to remain unchanged across the country for the 26th straight day on Wednesday, August 11, 2021. Petrol was last revised when it had touched a fresh record highs on July 17, when it rose by 30 paise per litre in the national capital while diesel prices were kept unchanged. The price of petrol in Delhi stands at Rs 101.84 per litre while that of diesel is at Rs 89.87. In Mumbai, petrol currently costs Rs 107.83, while diesel is retailing at Rs 97.45, data available on Indian Oil Corporation’s website showed. There has been no change in fuel prices so far in August. In July, petrol prices were hiked nine times while diesel rates were raised on five occasions and cut on one occasion. In June, both the auto fuel prices were hiked on 16 occasions, which followed the 16 hikes in the month of May after the oil marketing companies (OMCs) resumed their price revisions ending an 18-day hiatus that coincided with the assembly elections in key states. During this period, petrol price has increased by Rs 11.44 per litre and diesel has climbed by Rs 9.14 in New Delhi. Following the hikes since May 4, the price of petrol crossed the Rs 100-per-litre mark across many places in at least 19 states and union territories including Rajasthan, Madhya Pradesh, Maharashtra, Andhra Pradesh, Telangana, Ladakh, Karnataka, Jammu and Kashmir (J&K), Odisha, Tamil Nadu, Bihar, Kerala, Punjab, Sikkim, Puducherry, Delhi and West Bengal, Uttar Pradesh and Haryana. Auto fuel prices in the country differ from state to state depending on the local taxation (VAT) and freight charges. Apart from this, the central government charges an excise duty on auto fuels. OMCs revise rates of petrol and diesel daily based on the average price of benchmark fuel in the international market in the preceding 15-days and foreign exchange rates. In the international market, oil prices slipped on Thursday following two days of gains after a call from the United States, the world’s top oil consumer, for major producers to boost output reinforced supply concerns as economies ease their coronavirus restrictions, news agency Reuters reported.  Brent crude futures slipped by 17 cents (0.2 per cent) to $71.27 a barrel by 0650 GMT, after earlier rising to a session-high of $71.69. US West Texas Intermediate (WTI) crude futures fell by 23 cents (0.3 per cent) to $69.02 after rising to $69.51 earlier, the report said.   📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlines For all the latest Business News, download Indian Express App.     ",indianexpress,N,,,,,
33,"‘Have no links with militant groups, do not believe in agitational politics’: Jamaat-e-Islami on NIA raids at its premises in J&K","Distancing itself from the “terror-financing allegations” over which dozens of its premises in Jammu and Kashmir were raided by the National Investigation Agency (NIA) last week, the three former chiefs of Jamaat-e-Islami have said that the organisation “has no direct or tacit link with any militant group”. This is the first time that the Jamaat has issued a statement since being banned in February 2019. “Jamaat has time and again made it quite clear that it had no direct or tacit touch or link with any militant group and all such allegations against Jamaat were false… Jamaat never believed in agitational politics and had never employed any such methods which might cause any least disturbance in the law-and-order situation or any kind of strife on the earth,” the press statement issued jointly by Sheikh Ghilam Hassan, Ghulam Mohammad Bhat and Mohammad Abdullah Wani read. It added, “Jamaat always employed propagatory methods, verbal as well as written, to carry forward its mission, programmes and policies which were beneficial for the entire human society. But despite this fact, it was banned and declared as an ‘unlawful association’ a number of times without any rhyme or reason, levelling such allegations which had no basis but were all against the facts, in total ignorance of the real situation.” The statement further said that the “public services of the organisation were ignored” while banning the outfit on some “flimsy and concocted allegations”. Making a reference to the 1998 press conference of the then Jamaat chief Ghulam Mohammad Bhat where he had categorically distanced the organisation from any militant organisation, the statement said that Jamat is a “peaceful, democratic and transparent” organisation. “Jamat was made for propagating Islamic teachings among the public in its pristine form and for the social services of the humanity without any discrimination,” the statement said, while adding, “(Jamat was made) in particular to provide material assistance to the economically and educationally downtrodden section of the general public from its lawfully created resources.” Distancing Jamat from separatist politics, the three former Chiefs have said that the organisation is not a constituent of the separatist conglomerate Hurriyat Conference for a long time.  “Jamaat had dissociated from the Hurriyat Conference (both factions) in 2008 and as such doesn’t remain a unit of any of these factions therefrom. It is hereby further cleared that Jamaat was neither a creation of any political issue nor had so far created such an issue. If there was any such public political issue, Jamaat too was affected only because of being a part of the public at large.” The statement read. The three former Chiefs also called for the lifting of the ban. “It is hoped that the ban on it will be lifted forthwith thereby allowing this human-friendly socio-religious organisation to work freely for the cause of humanity,” the statement added. 📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlines For all the latest India News, download Indian Express App.      
Bashaarat Masood  ... read more",indianexpress,N,,,,,
