article_text,source,headline,bias
"Everyone is upset with Yogi Adityanath, Chhattisgarh Chief Minister Bhupesh Baghel said. (File)Raipur: Chhattisgarh Chief Minister Bhupesh Baghel said that there is an anti-incumbency in Uttar Pradesh against the Yogi Adityanath government and it will not retain power in the state after the Assembly polls next year.Mr Baghel, who returned from Lakhimpur Kheri, said, ""There is anti-incumbency against the BJP government in UP. From farmers, youth, Scheduled communities to traders, everyone is upset with the CM. The Yogi government will not retain power in the state.""He has recently been appointed as Congress senior observer for the Uttar Pradesh Assembly elections.Mr Baghel, along with Congress leaders Rahul Gandhi and Priyanka Gandhi Vadra, had recently met families of farmers who died in Lakhimpur Kheri on October 3.PromotedListen to the latest songs, only on JioSaavn.comMr Baghel also attacked former chief minister Raman Singh, who had criticised Baghel for visiting Lakhimpur Kheri. The Chhattisgarh Chief Minister said, ""After the post-poll violence in West Bengal, the Chhattisgarh BJP had protested in the state. What is the connection of violence happening in West Bengal with Chhattisgarh? The BJP adopts double standard in everything."" (Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",ndtv,"Anti-Incumbency Against BJP In UP, Says Chhattisgarh Chief Minister",L
"Four farmers were run over by son of Union Minister Ajay MishraNew Delhi: The BJP held a four-hour meeting in Delhi to discuss the assembly polls in Uttar Pradesh due next year. The key question at the meet, sources said, was likely to be the possible fallout of last week's events in Lakhimpur Kheri, where four farmers were run over on October 3 -- allegedly by Ashish Mishra, the son of Union Minister Ajay Mishra.Junior home minister in Prime Minister Narendra Modi's government, Ajay Mishra has not resigned despite the nationwide outrage and opposition demands.Sources said there is no possibility of resignation for now. At a meeting with his boss, Union Home Minister Amit Shah last week, Mr Mishra said he or his son were not at the spot. Sources indicated that fresh overview could be taken on basis of the findings of the investigation if needed.The party, though, still needs to think ahead and sources said the knotty question of his resignation could be discussed at the meeting, which was attended by party secretary BL Santosh, UP in-charge Radha Mohan Singh, election in-charge Dharmendra Pradhan, UP BJP President Swatantra Dev, state BJP's organizational secretary Sunil Bansal and party chief JP Nadda.The deaths, and the state police's tardy response on the arrest of Ashish Mishra, have infuriated farmers.For the party, the choice is between alienating farmers or the Brahmins, who comprise 11 per cent of the state's population and are seen as upset with the BJP.Mr Mishra belongs to the Brahmin community, who though numerically small, are of crucial political importance given the given the huge role of caste in elections in the state, seen as a gateway to Delhi.The BJP's core constituency in the state when the Dalit votebank gained ascendancy, Brahmins have become deeply resentful with the selection of Yogi Adityanath -- a Rajput -- for the top post.Backing the Chief Minister for a second term, the BJP, over the last months, has been trying hard to gain back the favour of the community.In June, the party acquired Congress's Jitin Prasda regain the favour of its core constituency.It also tried a similar move in 2016 -- inducting another Brahmin face from the Congress, Rita Bahuguna Joshi, daughter of former Uttar Pradesh chief minister Hemwati Nandan Bahuguna.PromotedListen to the latest songs, only on JioSaavn.comBut the attempt failed with Ms Bahuguna-Joshi having no mass following in the state. Jitin Prasada suffers from a similar handicap.In comparison, Ajay Mishra has considerable clout in the Terai area and he has the image of a muscleman.",ndtv,Will Farmers' Deaths Hit Chances In Polls? BJP Holds Key Meet,L
"The RLD chief also hit out at the Yogi Adityanath-led government in UP (FILE)Noida: Ahead of next year's assembly elections in Uttar Pradesh, Rashtriya Lok Dal (RLD) chief Jayant Chaudhary on Monday asked people to not forget the Lakhimpur Kheri episode and take revenge for the atrocities on farmers though their votes.Mr Chaudhary also announced that if his party is voted into power in Uttar Pradesh, high court benches will be set up in western UP, Bundelkhand and Purvanchal areas of the state.He also promised that if his party comes to power, inter-caste couples getting married would be given Rs 1 lakh encouragement reward and scholarships would be doled out for the backward and Dalit students who secure admission in prestigious universities abroad.The RLD national president made the promises during public programmes in Muzaffarnagar and Amroha districts in western UP on Monday, organised as part of his 'Aashirwad Path' public outreach campaign in the state ahead of 2022 assembly polls.Currently UP, the country's most populous and one of the largest states in area, has a High Court in Allahabad with a bench in Lucknow.Demand for high court benches in other parts of the state have often cropped up in the past.""If RLD comes to power in Uttar Pradesh, our government would set up high court benches in western UP, Bundelkhand and Ghazipur (in Purvanchal),"" Mr Chaudhary said, according to a party statement.""Also, those who break caste barriers will be given an incentive of Rs one lakh for inter-caste marriages and special scholarships will be given to promising students from backward castes and Dalit community on getting admission in reputed universities of the world,"" he said.Assembly polls in Uttar Pradesh are expected early next year.During the events, the RLD chief also hit out at the Yogi Adityanath-led government in UP, saying not even BJP voters would have imagined the atrocities being committed by it.""You all have witnessed the Lakhimpur Kheri episode. The government has left behind even the British Raj in committing atrocities on the people. You must remember the names of the farmers who got martyred in Lakhimpur Kheri and you must take revenge for the atrocities though your votes,"" he told crowds at Budhana and Rajabpur.He alleged that Union Minister Ajay Mishra's son Ashish, who is an accused in the Lakhimpur Kheri case, was sitting at his home but the UP police did not arrest him soon after the incident.The minister's son Ashish was arrested on Saturday by the Uttar Pradesh Police in connection with the October 3 violence in which eight people, including four farmers, were killed.He was produced before a court late on Saturday night, which sent him to 14-day judicial custody.He also trained guns at the Narendra Modi-led government at the Centre, accusing it of helping ""corporate friends"" and not working for welfare of the common man, the poor and the farmer.""A recent survey showed that while the poor of the country battled starvation and many lost their jobs during the COVID-19 pandemic, the wealth of some selected rich men in the country doubled during the period. These are the same corporate friends of the government whose wealth increased,"" he alleged.He said if his party comes to power in UP, a Rs 2,500-crore entrepreneur fund would be started to specially give loans to people from the SC/ST communities in order to help them start their businesses.A separate Rs 2,500 crore fund would be set up to provide loans to youngsters for their agriculture-related start ups.PromotedListen to the latest songs, only on JioSaavn.com""If our party comes to power, we will ensure security and safety of everyone, including the minorities, in the state,"" Mr Chaudhary added.(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",ndtv,Take Revenge Through Votes: Rashtriya Lok Dal Chief Over Farmers' Killing In UP,L
"The police headquarters will sanction/permit leave only for unavoidable reasons. (Representational)Lucknow: The leave of all Uttar Pradesh Police personnel has been cancelled till October 18 in view of the upcoming festivals and programmes scheduled by farmers' body Samyukt Kisan Morcha (SKM), officials said on Monday.""Due to festivals and programmes of SKM, all leave till October 18 are being cancelled,"" an order issued by Additional Director General, Law and Order, Prashant Kumar on Sunday said.""In case of any unavoidable reasons, the police headquarters will sanction/permit leave,"" the order added.""This order is being implemented with immediate effect,"" it further said.Durga Puja and Ramlila celebrations are currently going on in the state and Dusshera will be celebrated on October 15.The SKM has decided to hold ''antim ardas'' prayers on Tuesday for the four farmers who were killed in the violence in Lakhimpur Kheri on October 3. It has also announced a ''rail roko'' protest on October 18.PromotedListen to the latest songs, only on JioSaavn.comBesides, political parties are starting yatras in the state to galvanise public support for the 2022 assembly polls.Samajwadi Party president Akhilesh Yadav will be kicking off 'Samajwadi Vijay Yatra'' from Kanpur on Tuesday, while Pragatisheel Samajwadi Party Lohia (PSPL) chief Shivipal Yadav is also starting a yatra from Mathura the same day.",ndtv,Leave Of All UP Police Personnel Cancelled Till October 18: Officials,L
"Union Minister's son Ashish Mishra was today sent to 3-day police custody. He reportedly gave evasive answers about the Lakhimpur Kheri violenceLucknow: Union Minister's son Ashish Mishra, accused of running over farmers in Uttar Pradesh's Lakhimpur Kheri triggering violence that claimed eight lives earlier this month, was sent to police custody for three days on Monday.Son of Union Minister Ajay Mishra, Ashish Mishra was arrested on Saturday after being questioned for over 12 hours in Lakhimpur Kheri. The police said he had been giving ""evasive answers"" and not cooperating.His arrest came five days after he was named in a murder case. The charges against him usually merit an immediate arrest and questions have been raised whether he was afforded VIP treatment because of his father.According to top sources in the Uttar Pradesh Police, the minister's son was not able explain several points about his whereabouts during the incident on October 3. They were also yet to get answers to questions surrounding the discovery of two empty cartridges at the scene which back the farmers' claims of being fired at and contest those by Mr Mishra's men who say there was no firing.Witnesses have said he was missing from the event he said he was at between 2 and 4 pm - around the time the incident took place, his phone location showed him closer to the crime scene, and the driver of the SUV that rammed the farmers did not appear to match the description made by him.The senior UP Police officer, who waited three hours for Ashish Mishra to show up on Friday, questioned him till late into the night a day later after he was brought in through a backdoor, helping him avoid the media gaggle. In another questionable move, the UP cops had issued notice to Ashish Mishra under a section of law which concerns attendance of witnesses - not the accused.The arrest came a day after the Supreme Court reminded the Uttar Pradesh government that the law must take its course against ""whoever is involved""  amid nationwide outrage over the incident and mounting pressure from farmer groups.PromotedListen to the latest songs, only on JioSaavn.comAshish Mishra has been named in an FIR filed by the farmers who said he drove into a gathering of slogan-shouting demonstrators amid a peaceful black flag protest last Sunday. Eight people, including four farmers and four from the convoy, died in the incident and the violence that it triggered.Though the Union Minister's son admits the SUV that ran over farmers belongs to him, but he maintains he was not in it. His team said he had produced around 150 images to show that he was not in the car that crushed the farmers.",ndtv,3-Day Police Custody For Minister's Son Arrested Over Murder Of Farmers,L
"BJP MP Varun Gandhi on Thursday posted on Twitter a short clip of a speech of former prime minister Atal Bihari Vajpayee from 1980 in which he warns the then Indira Gandhi government against repressing farmers and extends his support to them. Gandhi tweeted, “Wise words from a big-hearted leader…” Wise words from a big-hearted leader… pic.twitter.com/xlRtznjFAx — Varun Gandhi (@varungandhi80) October 14, 2021  The BJP MP has been vocal in empathising with farmers agitating against the three agri laws enacted by the Modi government and sharing Vajpayee’s speech is seen as his message to the central government. In the video clip, Vajpayee is heard telling a gathering that farmers cannot be scared.  “If the government will suppress (farmers), misuse laws and repress a peaceful agitation, then we will not shy away from joining the farmers’ struggle and standing with them,” he is heard saying. Gandhi has also sought stringent action against those responsible for the death of four farmers after vehicles, allegedly linked to BJP leaders, ran over them in Uttar Pradesh’s Lakhimpur Kheri. He was recently dropped from the BJP national executive in what was seen as an indication of the party leadership’s unhappiness with the Pilibhit MP. 📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlines For all the latest India News, download Indian Express App. ",indexp,"In apparent message to government, Varun Gandhi shares clip of Vajpayee’s speech in support of farmers",N
"The Punjab unit of the BJP has asked the state DGP to book SKM leaders for hurting Hindu sentiments by giving a call for burning effigies of Prime Minister Narendra Modi, Home Minister Amit Shah  on Dussehra. Urging the police to ensure that the “sanctity of the religious festival” is not disturbed, the BJP said that that Article 19 of the Constitution gives right to protest but with restrictions. “But no one can be permitted to disrupt peace and harmony of the state,” said Dr Subhash Sharma, general secretary of the Punjab BJP. He added: “Few leaders of the SKM are deliberately and maliciously hurting the feelings of the society, especially Hindus, by giving a call that Prime Minister Narendra Modi and Home Minister Amit Shah’s effigies will be burnt on Dussehra day. This is hurting the feelings of people.” Dr Darshan Pal, member of SKM and president of Krantikari Kisan Union, Punjab, said, “Yes, we have given a call to burn effigies of the PM and Home Minister and we stand by it. We have asked people to avoid it in sensitive areas, but this call stands for the entire nation.” He said, “Let people complain about us, however effigy burning is not a new thing, it has been happening for the past many years. Employee unions and many other unions had been burning such effigies in the past as well. Last year too we had burnt effigies on Dussehra but at that time aandolan was more active in Punjab and now it is across the country. ” He added, “Dussehra means victory of good over evil…We have been struggling against farm laws since June 2020 and in between many incidents have happened including Lakhimpur Kheri. So, farmers will be lodging their protest against evil forces in the country.” Jagmohan Singh Patiala, general secretary of BKU (Dakaunda) and member of SKM added, “We are not stopping anyone from celebrating Dussehra the way they like. However, we are issuing an appeal to people to burn effigies of the PM and Home Minister….Moreover, effigies were burnt even last year in a similar manner at many places on Dussehra. ” BJP’s Punjab spokesperson Anil Sareen added, “It needs to be asked as to why farmer unions protest on the days when Hindus celebrate their festivals. Last year too they had burnt effigies like this only on Dussehra day. This year too they have given a call.  They burn effigies every now and then, let them do it. However, why do they give such calls on Hindu festivals. On Diwali last year, they observed Black Diwali.  On Raksha Bandhan this year, chakka jam was done in Punjab as part of ongoing protest. I appeal to farmer unions that they should not to use festivals for protests, they can do them on other dates as well.”  Dr Sharma also wrote to the DGP that Supreme Court in other cases had already given directions to police to take preventive measures and remedies in case some forces try to breach peace and create disharmony on religious festivals .”Our Festivals are a part of our lives and many people of state celebrate Dussehra with religious purposes,” said Dr Sharma.  “The pious and religious festival of Dussehra is a primary religious occasion in the country and any attempt to disrespect and disturb it should be curtailed,” said Dr Subhash Sharma. The BJP leader urged the DGP to lodge an FIR against concerned SKM leaders under Sections 153 A and B, 295A read with 298 and 425 of the IPC. 📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlines For all the latest Ludhiana News, download Indian Express App. ",indexp,"‘Bid to disturb sanctity of Dussehra’: BJP writes to DGP, wants SKM leaders booked",N
"A plea has been filed in the Punjab and Haryana High Court questioning the continuation of Manohar Lal Khattar as the Chief Minister of Haryana over his alleged “failure to uphold the solemn oath to the Constitution of India and the rule of law”. The plea, filed by seven residents of Haryana, says that Khattar made a “dangerous speech” at the BJP kisan morcha at Chandigarh on October 3, 2021. The matter will come up for hearing before the bench of Justice MS Ramachandra Rao on October 27. The petitioner, Chander Shekher and six others have called for directions to ban the video of the event/speech, so that it did not become a “weapon in the hands of anti-national forces for creating political and social unrest and large scale violence, likely to result as passions were high on account of the Lakhimpur Kheri massacre.”  The petitioners have also sought directions to DGP and Chief Secretary of Haryana, to register an FIR against Khattar, if there is unrest in the state, in view of the encouragement given to a political wing of the farmers to quell protest by use of unlawful illegal force. The petitioners, through their counsel, have also submitted that the farmers’ agitation comes under the ambit of the right to protest guaranteed under the Constitution and Khattar’s speech takes away the constitutional authority vested in him to continue as the CM of the state.  📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlines For all the latest Chandigarh News, download Indian Express App. ",indexp,Plea in HC against Khattar for speech against farmers at BJP kisan morcha event,N
"TEN DAYS after four farmers were killed in Lakhimpur Kheri when a group of farm protesters were hit by a convoy of vehicles, including one owned by Union MoS Ajay Mishra, and four others lost their lives in the violence that followed, UP Law Minister Brijesh Pathak Wednesday became the first senior BJP leader to visit the area. But the Minister left after visiting the families of two of those killed: BJP worker Shubham Mishra and MoS Ajay Mishra’s driver Hari Om Mishra. He did not meet the families of four others from the area who lost their lives: farmers Nachhattar Singh and Lovepreet Singh, BJP worker Shyam Sunder Nishad, and journalist Raman Kashyap. The two other farmers who were killed, Gurvinder Singh and Diljeet Singh, were from the neighbouring Bahraich district. When contacted by The Indian Express, Pathak said: “I will visit their families of Nishad and Kashyap as soon as the situation normalises in that region as they live close to the spot where the incident took place.” The Minister also said that he would hold talks with the families of the farmers who were killed “once the situation normalises”. Opposition parties, however, criticised Pathak’s visit and described it as “an attempt to divert attention” from the incident. Bhartiya Kisan Union (BKU) leader Rakesh Tikait warned that it “may be a bit too early for a BJP Minister to visit the families” of the farmers killed. “There may be a reaction from the families, so if someone has to go, permission should be taken from the families,” he said. BJP district chief Sunil Singh said the family of Nishad, which belongs to an OBC community, has been assured that another delegation led by the party’s state general secretary Amar Pal Maurya would visit Lakhimpur Kheri on October 16. He said Maurya’s delegation would also visit the family of Kashyap. The families of Nachhattar Singh and Lovepreet Singh were not available for comment. Guru Sevak, the brother of 18-year-old Gurvinder Singh in Bahraich, said the Minister “should not come for politics, but to share our sorrow”. “If he wants to come, he should remove his party’s flag and come,” he said. In his interaction with the families of Shubham Mishra and Hari Om Mishra, Law Minister Pathak promised to fulfil their demands, including the issuance of “arms licence, status of BJP martyr and a fair investigation in their killings”. Asked about his visit, Pathak told The Indian Express: “I visited the families to offer condolences and assure them of a fair investigation. The families had some demands, including for a weapon licence as there is a security threat. I promised them that it would be looked into as per the norms.” Speaking to The Indian Express on Wednesday afternoon, the family of Shyam Sunder Nishad, who was the BJP ‘mandal mantri’ for the Singahi area in Lakhimpur Kheri, said no one contacted them regarding Pathak’s visit to the area. “No Minister has come to meet us, and we have not been given any information about any Minister’s visit by local officials. We would like to meet whoever wants to share our grief,” said Nishad’s brother Sanjay. Nishad (30) is survived by his parents, Balak Ram (52) and Phoolmati (47), wife Ruby (25), and two daughters, one aged three and the other just seven months old. Kashyap’s family also said that no one had contacted them about the Minister’s visit. “We are waiting for people to come and share our grief. He is a Minister, so he could have met us. No one from the administration told us anything about any visit,” said Kashyap’s brother Pawan. Kashyap’s family has claimed that he was also killed after being hit by the convoy. Apart from his father, Kashyap is survived by his wife Aradhna (32) and their two children, aged 11 and 3. In the Shivpuri area, where BJP worker Shubham Mishra (26) hailed from, his uncle Anoop Mishra said: “The Law Minister met us at the venue for the daswan (10th day since death). He wanted to meet us at home but we were at the mourning site. The Minister told us that our son will be given the status of martyr by the BJP.” According to him, Pathak also assured the family that action will be taken against those responsible for his death. “He assured us that our family will be looked after, and that our daughter-in-law will get a job,” the uncle said. Shubham Mishra, who was a businessman, is survived by his wife Rekha and one-year-old daughter Angel.  Pathak also met the family of Hari Om Mishra (27) in Parsehra village. “He promised us that our family will be looked after. He also assured us that the BJP will give Hari Om the status of a martyr,” Hari Om’s cousin, Rajnikant Mishra, said. Asked about Pathak’s visit, Congress state chief Ajay Kumar Lallu, who had visited Lakhimpur Kheri along with Priyanka Gandhi, said, “This is now just an attempt by the Government to divert the focus and course of investigation. This government protects criminals and such visits, 10 days after the incident, shows that they have no intention of ensuring justice for the victims.” Samajwadi Party spokesperson Rajendra Chaudhary said: “This visit has no meaning and is just a formality after so much pressure has been built by the Opposition. The government wants to divert attention from the incident.” 📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlines For all the latest Lucknow News, download Indian Express App.  ",indexp,"Lakhimpur Kheri violence: First visit by senior BJP leader, skips farmer homes",N
"At Banveerpur, Union minister Ajay Mishra’s village, most are willing to testify that his son Ashish Mishra was present at the venue of a wrestling event on October 3 when a convoy of vehicles, including one owned by his father, mowed down a group of farmers, killing four of them and a journalist. Despite his arrest, Ashish, popular as Monu Bhaiyya, most villagers vouch for his innocence. For them, among his three siblings, Ashish, the eldest, remains Ajay Mishra’s political and business heir. “After Teniji [Ajay Mishra] became the MP from Lakhimpur Kheri seat, it was Monu Bhaiyya who took over his reign in the district. People who would come to meet Teniji to resolve their issues started meeting Monu Bhaiyya,” says Akash Mittal, the 32-year-old pradhan of Banveerpur. Ashish also took charge of the daily running of the family business – a rice mill and two petrol pumps owned by his father. According to villagers, Ashish handled his father’s political campaign in the 2014 and 2019 Lok Sabha polls. “He was always working behind the scenes and organising things. His popularity is unmatched. He is Ajay Mishra’s uttaradhikari (successor),” says Amar, a 31-year-old villager. “Unme jo baat hai, woh Abhimanyu bhaiyya mein nahi hai. Woh thode seedhe hain (the qualities he possesses is not in his brother Abhimanyu, who is rather simple).” A Samajwadi Party leader in Nighasan, from where Ashish is keen to contest the upcoming Assembly polls on a BJP ticket, says, “His image is not very different from his father Ajay’s.” He refuses to speak more about him. “I have to live here,” he says. According to Tikonia Station House Officer Balendu Gautam, two cases were filed against Ashish between 2007 and 2009 at the local police station. “They are related to assault charges,” says the police officer. He refuses to divulge more. According to a villager, Banveerpur fears the Mishra family. “No one will say anything against Ashish or anyone from his family even after he killed four people. Such is their stature in the village,” alleges the 37-year-old farmer. Across Nighasan block and Banveerpur, Ashish’s political ambitions and presence is clear – and are there to see on the walls. “Nighasan janta ki pukaar, Monu Bhaiyya ab ki baar (people of Nighasan want Monu Bhaiyaa this time),” says one of the slogans painted on a wall. “He had sought a ticket in 2017 Assembly polls too, but the party fielded senior leader Patel Ramkumar Verma,” says a local BJP leader, referring to the Union minister’s former political mentor. Ties between the two leaders, however, soured over the years, say party leaders. Nighasan is currently held by Verma’s son Shashank, who won the 2019 bypoll on a BJP ticket after his father’s death. According to a BJP leader based in Lakhimpur Kheri, the farmer deaths may have dented Ashish’s chances of getting a party ticket. “This time, Monu had a good chance of getting the ticket to contest from Nighasan, but let’s see what happens now. Shashank is the sitting MLA. So, he is also a good choice for the BJP,” he says. “It is difficult to predict what happens next, but the October 3 incident will definitely affect his chances. Tikonia mein bahot bada kaand ho gaya. Poore desh mein baat ho rahi hai (the country is talking about what happened in Tikonia),” he says. “The party is under pressure.” This setback to his political dreams – which has led other ticket hopefuls to jump into the fray over the past few days – is perhaps one challenge Ashish would have wanted to avoid. Despite his fondness for “kushti” (wrestling). Villagers and those close to his family say Ashish likes challenges, when it comes to wrestling. “He is not shy of taking on a wrestler from the village. Baaki zyada koi shauk nahi, par kushti karte hain (he is passionate about wrestling),” says a local BJP leader, close to the Mishra family.  A science graduate from Lucknow University, Ashish got married to Rinki Mishra from Bheera town in Lakhimpur Kheri in 2014. “It was an arranged marriage. Monu Bhaiyya’s wife is the sister of BJP leader Achal Mishra. Her father Uddhav Shyam Mishra was also associated with the BJP,” says a local BJP leader. The couple have two school-going daughters. While Ashish used to live at Banveerpur, his wife and daughters lived in Lakhimpur Kheri city. They would visit him on the weekends, says the village head. 📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlines For all the latest Lucknow News, download Indian Express App.  ",indexp,"Ticket hopes dented, but Ashish remains his father’s political heir in his village",N
"Samajwadi Party president Akhilesh Yadav on Wednesday hit out at the BJP, saying that the ruling party would not act against Union minister Ajay Mishra, whose son has been arrested in connection with the killing of farmers in Lakhimpur Kheri, as it “stands with criminals”. Continuing with the party’s “Vijay Rath Yatra” in Jalaun and Kanpur Dehat districts ahead of the Assembly election in Uttar Pradesh, the former chief minister targeted BJP government over several issues — from inflation and high fuel prices — and said it is a “feku (fraud) and bechu (seller) sarkar”. “This party (BJP) is the one which asked youth to make pakodas for employment. They should be asked how expensive is mustard oil now… The ones who increased the prices of everything are also selling everything else. They are selling airplanes, airports, ships, ports, trains and stations… The way the BJP government is selling things, the government may become a company like the East India Company and may outsource governance too. They are snatching away the rights of the people given to us by Dr B R Ambedkar,” Akhilesh said while addressing people in Jalaun’s Kalpi town. “Most people gathered here are farmers. The BJP government had promised that it will double the income of farmers. Tell me if it has happened… The government could not compensate you for your produce. Today, petrol has crossed Rs 100, and diesel is creeping behind. They have brought three farm laws that will snatch away your farming. It will not increase your produce, but will only take away your farming. You will have to work as labour on your own farming. This is what has been done by BJP,” he asked. #बाइस_में_बाइसकिल pic.twitter.com/TTET87ontF — Akhilesh Yadav (@yadavakhilesh) October 13, 2021 Invoking the October 3 incident in Lakhimpur Kheri, Akhilesh said: “When farmers protested in Lakhimpur Kheri, then the son of country’s Minister for State for Home ran over the protesting farmers leaving farmers dead… The BJP will never act against the (Union) minister because it stands with criminals. If criminals are the happiest anywhere, it is under the BJP government,” he said. “The BJP was prepared to trample the law of the land. If they get more power, they will trample the Constitution too. Farmers are standing to save the country, and they will sweep them away in 2022,” Akhilesh said, pointing to the next year’s Assembly elections. “The people of Bundelkhand gave their full support to the BJP. All (BJP) MLAs and MPs won from here. What did you get,” he asked. कालपी के टक्कर बापा इंटर कॉलेज में महान दल की “सम्मान रैली” में मुख्य अतिथि के रूप में सम्मिलित हुए श्री अखिलेश यादव जी। महान दल के राष्ट्रीय अध्यक्ष श्री केशव देव मौर्य जी ने माननीय राष्ट्रीय अध्यक्ष श्री अखिलेश यादव जी का स्वागत किया।#समाजवादी_विजय_यात्रा pic.twitter.com/P9ulLkQ0y8 — Samajwadi Party (@samajwadiparty) October 13, 2021 “Chief Minister Yogi Adityanath has a liking for two things — the bull and the bulldozer — but the people of Bundelkhand have decided that the steering of the bulldozer, which is in their hands, will be snatched from him in next year’s Assembly election. They will run the bulldozer of votes on the BJP in the coming polls,” he said. Yadav was apparently referring to the stray cattle menace in the state and the government’s drive to raze alleged unauthorised properties. “This Vijay Rath will keep going on till the BJP is swept away from UP,” Akhilesh said, adding, “The Covid pandemic came and people had to run around for treatment. The government couldn’t give medicines, hospital beds of oxygen to the people. Poor people had to run around and manage oxygen on their own.” The SP chief thanked ally Mahan Dal leaders and workers and those who joined the SP from Congress and BSP. 📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlines For all the latest Lucknow News, download Indian Express App. ",indexp,"UP Assembly Polls BJP stands with criminals, won’t act against Minister: Akhilesh Yadav",N
"A local court in Lakhimpur Kheri on Wednesday denied bail to Ashish Mishra, the main accused in the murder of four farmers and a journalist who were allegedly run over by a convoy of SUVs, including a Thar jeep owned by his father and Union minister Ajay Mishra. Three others were killed in subsequent violence at Tikonia on October 3. The Special Investigation Team (SIT) of UP Police, meanwhile, arrested two more persons — 38-year-old Ankit Das and 37-year-old Lateef alias Kala — in connection with the incident, taking the total number of arrests in the case to six. Ankit Das, a resident of Lucknow, is a close aide of Ashish Mishra and nephew of former Rajya Sabha MP Akhilesh Das. Lateef alias Kala, a resident of Lakhimpur Kheri, is an accountant of Ankit Das, said police, adding that he and Ankit Das were in one of the three vehicles in the convoy that ran over the protesting farmers. Both were later produced before a local court which sent them to three-day police custody, beginning Thursday.  “The court allowed the SIT’s application and sent Ankit and Lateef to three-day police custody,” said government counsel (Lakhimpur Kheri) SP Yadav. On Tuesday, Das and Kale had moved an application for surrender before the chief judicial magistrate after investigators summoned them for questioning. In a video that went viral in the aftermath of the incident, a man with head injuries was heard telling a policeman that he was in the vehicle with four other people, including Ankit Das. The man in the video provided the registration number of the vehicle — described as a Toyota Fortuner — and claimed that it belonged to Ankit Das. “Since police have arrested Ankit Das and Lateef we would request the court to expunge surrender application,” said advocate Awadesh Kumar Singh. 📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlines For all the latest Lucknow News, download Indian Express App.  ",indexp,"Lakhimpur Kheri violence case: Ashish Mishra denied bail, two more arrested",N
"In an attempt to keep the Lakhimpur Kheri violence and killings politically alive, a high-level delegation of Congress leaders on Wednesday met President Ram Nath Kovind and urged him to dismiss Union Minister of State for Home Affairs Ajay Mishra Teni, whose son Ashish Mishra was arrested, and to direct setting up of an independent judicial investigation by a commission comprising two sitting judges of the Supreme Court of India or a high court. Senior Congress leaders Rahul Gandhi, Leader of the Opposition in Rajya Sabha Mallikarjun Kharge, A K Antony, Ghulam Nabi Azad and Priyanka Gandhi Vadra told the President that the “unforgivable and merciless murder of farmers in Lakhimpur Kheri” has “scarred the soul of India”. “This deliberate act of murder, in broad daylight followed by the audacious reactions of the State and Central Governments, has completely eroded the people’s faith in those tasked with bringing these perpetrators to justice,” they said in a memorandum submitted to the President. Referring to the continuing protests by farmer groups on the outskirts of Delhi against the three contentious farm laws, the Congress leaders told the President that “the Modi Government has refused to relent or have a meaningful conversation with them (the farmers). Their policy appears to be to “tire & retire” the Anndatas, a strategy doomed to failure.” “In this context, it is important to note that on September 27th, 2021, the day of the Bharat Bandh called by protesting farmers against the three black laws, Ajay Mishra Teni, MoS Home Affairs, in a public function openly threatened the agitating farmers and even boasted about his dubious antecedents. The video of his speech has been played on different public platforms and is available in the public domain. How can justice be done when the original provocation came from Union MoS Home Affairs himself?” the memorandum said. “Thereafter, on October 3rd, as farmers carried out their peaceful protests, a cavalcade of vehicles (with two of the cars being owned by the Minister and his family) mowed down four farmers (and a journalist) from behind. It was one of the most gruesome and premeditated acts of bone-chilling murder ever seen and caught on camera. Multiple eyewitnesses have confirmed that the Minister’s son, Ashish Mishra was in the vehicle.” “As has become the norm, the Uttar Pradesh Government and Police flatly refused to lodge an FIR and then refused to arrest the accused….,” the memorandum said.  The Congress leaders wondered “which police official would dare to fairly investigate the son of Union MoS Home Affairs with the father occupying a position of such high influence and who enjoys continued endorsements from both the central and the state governments.” “In these difficult circumstances, we call upon you as the custodian of our Constitution and the moral compass to this Government to immediately dismiss Union MOS Home Affairs Ajay Mishra Teni and to direct an independent judicial investigation by a Commission comprising of two sitting judges of the Supreme Court of India or the High Court,” it said. 📣 The Indian Express is now on Telegram. Click here to join our channel (@indianexpress) and stay updated with the latest headlines For all the latest India News, download Indian Express App.  ",indexp,"Lakhimpur Kheri: Congress leaders meet President Kovind, demand dismissal of MoS Ajay Mishra, judicial probe",N
